name,description,short_description,price,original_price,sku,stock_quantity,category_id,brand_id,images,features,specifications,is_active,is_featured,weight,dimensions
"iPhone 15 Pro Max","The most advanced iPhone ever with titanium design, A17 Pro chip, and pro camera system","Latest iPhone with titanium design and advanced camera",1299.99,1399.99,"APPLE-IP15PM-256-001",25,"","","{https://images.unsplash.com/photo-1592750475338-74b7b21085ab?w=500}","{A17 Pro chip,Pro camera system,Titanium design,Action Button}","{""storage"": ""256GB"", ""display"": ""6.7 inch"", ""camera"": ""48MP"", ""battery"": ""29 hours video""}",true,true,0.221,"{""width"": 77.6, ""height"": 159.9, ""depth"": 8.25}"
"MacBook Air M3","Supercharged by the M3 chip, perfect for work and play","Lightweight laptop with M3 chip",1199.99,1299.99,"APPLE-MBA-M3-13-002",15,"","","{https://images.unsplash.com/photo-1541807084-5c52b6b3adef?w=500}","{M3 chip,18-hour battery,Liquid Retina display,MagSafe charging}","{""processor"": ""M3"", ""memory"": ""8GB"", ""storage"": ""256GB SSD"", ""display"": ""13.6 inch""}",true,true,1.24,"{""width"": 30.41, ""height"": 21.5, ""depth"": 1.13}"
"Samsung Galaxy S24 Ultra","Premium Android phone with S Pen and advanced AI features","Flagship Samsung with S Pen",1199.99,1299.99,"SAM-GS24U-256-003",30,"","","{https://images.unsplash.com/photo-1610945415295-d9bbf067e59c?w=500}","{S Pen included,200MP camera,AI photo editing,Titanium frame}","{""storage"": ""256GB"", ""display"": ""6.8 inch"", ""camera"": ""200MP"", ""battery"": ""5000mAh""}",true,true,0.232,"{""width"": 79.0, ""height"": 162.3, ""depth"": 8.6}"
"Sony WH-1000XM5","Industry-leading noise canceling wireless headphones","Premium noise-canceling headphones",399.99,449.99,"SONY-WH1000XM5-BK-004",40,"","","{https://images.unsplash.com/photo-1583394838336-acd977736f90?w=500}","{Industry-leading noise canceling,30-hour battery,Multipoint connection,Touch controls}","{""battery"": ""30 hours"", ""driver"": ""30mm"", ""weight"": ""250g"", ""connectivity"": ""Bluetooth 5.2""}",true,true,0.25,"{""width"": 254, ""height"": 220, ""depth"": 92}"
"Dell XPS 13","Compact and powerful laptop for professionals","Premium ultrabook with InfinityEdge display",999.99,1099.99,"DELL-XPS13-I7-005",20,"","","{https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=500}","{12th Gen Intel Core,InfinityEdge display,Premium materials,All-day battery}","{""processor"": ""Intel Core i7"", ""memory"": ""16GB"", ""storage"": ""512GB SSD"", ""display"": ""13.4 inch""}",true,false,1.27,"{""width"": 295.7, ""height"": 198.1, ""depth"": 14.8}"
"iPad Pro 12.9","Most advanced iPad with M2 chip and Liquid Retina XDR display","Professional tablet with M2 chip",1099.99,1199.99,"APPLE-IPADPRO-129-006",18,"","","{https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?w=500}","{M2 chip,Liquid Retina XDR,Apple Pencil support,Thunderbolt connectivity}","{""processor"": ""M2"", ""storage"": ""128GB"", ""display"": ""12.9 inch"", ""camera"": ""12MP""}",true,true,0.682,"{""width"": 214.9, ""height"": 280.6, ""depth"": 6.4}"
"Microsoft Surface Laptop 5","Sleek design meets premium performance","Premium Windows laptop",1299.99,1399.99,"MS-SL5-I7-512-007",12,"","","{https://images.unsplash.com/photo-1593642632823-8f785ba67e45?w=500}","{12th Gen Intel Core,PixelSense touchscreen,All-day battery,Premium materials}","{""processor"": ""Intel Core i7"", ""memory"": ""16GB"", ""storage"": ""512GB SSD"", ""display"": ""13.5 inch""}",true,false,1.297,"{""width"": 308, ""height"": 223, ""depth"": 14.7}"
"Apple Watch Series 9","Most advanced Apple Watch with S9 chip","Smartwatch with health monitoring",399.99,429.99,"APPLE-AW9-GPS-45-008",35,"","","{https://images.unsplash.com/photo-1434493789847-2f02dc6ca35d?w=500}","{S9 SiP chip,Double Tap gesture,Precision Finding,Health monitoring}","{""display"": ""45mm"", ""battery"": ""18 hours"", ""storage"": ""64GB"", ""connectivity"": ""GPS + Cellular""}",true,true,0.0389,"{""width"": 45, ""height"": 45, ""depth"": 10.7}"
"L'Oreal Paris Revitalift Serum","Anti-aging serum with hyaluronic acid for youthful skin","Powerful anti-aging serum",24.99,29.99,"LOREAL-REVITAL-30ML-009",150,"","","{https://images.unsplash.com/photo-1556228578-0d85b1a4d571?w=500}","{Hyaluronic acid,Vitamin C,Anti-aging formula,Dermatologist tested}","{""volume"": ""30ml"", ""active_ingredients"": ""Hyaluronic Acid, Vitamin C"", ""skin_type"": ""All skin types"", ""application"": ""Morning and evening""}",true,true,0.05,"{""width"": 3.2, ""height"": 10.5, ""depth"": 3.2}"
"Maybelline Fit Me Foundation","Lightweight foundation that matches your skin tone","Perfect-match liquid foundation",8.99,10.99,"MAYB-FITME-128-010",200,"","","{https://images.unsplash.com/photo-1596462502278-27bfdc403348?w=500}","{Lightweight formula,Natural finish,Buildable coverage,Non-comedogenic}","{""volume"": ""30ml"", ""coverage"": ""Medium"", ""finish"": ""Natural"", ""spf"": ""None""}",true,false,0.08,"{""width"": 4.5, ""height"": 12.8, ""depth"": 4.5}"
